company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Care Hospital,4.2,508,39,23,"Skill Development / Learning, Work Life Balance, Job Security",,High
Omaxe,4.1,507,1,33,"Salary & Benefits, Work Life Balance, Work Satisfaction",,High
NecLife,3.7,507,--,38,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Bharat Serums and Vaccines,4.0,507,11,24,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
Satya MicroCapital,3.8,507,1,52,Salary & Benefits,"Work Life Balance, Work Satisfaction",Average
Amrit Cement,4.2,506,17,41,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Emids Technologies Limited,3.7,506,7,39,Work Life Balance,"Promotions / Appraisal, Job Security",Average
Orient Cement,4.4,506,--,38,"Job Security, Company Culture, Work Life Balance",,High
Leverage Edu,4.2,505,7,33,"Salary & Benefits, Company Culture, Skill Development / Learning",,High
Kothari Agritech,4.7,505,--,42,"Company Culture, Work Satisfaction, Work Life Balance",,High
GKN,3.8,505,32,20,Work Life Balance,Promotions / Appraisal,Average
Bristlecone,3.7,505,--,51,Work Life Balance,Promotions / Appraisal,Average
V-Trans,4.1,505,--,25,"Job Security, Work Life Balance, Company Culture",,High
Aisin Automotive Haryana,4.2,505,--,26,"Company Culture, Job Security, Work Life Balance",,High
Licious,3.7,505,6,54,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Coal India,4.0,504,--,57,"Job Security, Salary & Benefits, Work Life Balance","Skill Development / Learning, Company Culture",Average
Bisk Farm,4.0,503,15,19,"Skill Development / Learning, Job Security",Promotions / Appraisal,Average
Ebix Software India,3.2,503,4,33,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Nvidia,3.8,503,--,95,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",Average
Electrotherm,4.2,503,--,29,"Job Security, Skill Development / Learning, Work Life Balance",,High
Doosan Power Systems,4.2,501,2,32,"Work Life Balance, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Job Security",High
Forbes Marshall,4.1,501,13,38,"Job Security, Company Culture, Skill Development / Learning",,High
Mindarika,3.8,501,--,31,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
RITES,4.0,501,--,26,Work Life Balance,Promotions / Appraisal,Average
Medtronic,4.1,501,221,66,"Company Culture, Salary & Benefits, Work Life Balance",,High
Quislex Legal Services,3.9,500,--,23,"Company Culture, Job Security, Skill Development / Learning",,Average
Nihilent,3.3,500,14,57,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Gayatri Projects,3.9,500,--,36,,"Salary & Benefits, Promotions / Appraisal, Job Security",Average
AVTEC,3.7,500,5,20,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Venus Remedies,4.4,500,33,27,"Company Culture, Work Satisfaction, Job Security",,High
ITC Limited Foods Division,4.0,499,--,40,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Patel Engineering,4.1,499,3,33,"Job Security, Company Culture, Work Satisfaction",,High
Ameriprise Financial,3.7,499,--,58,"Job Security, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Saint Gobain Glass,4.0,499,--,22,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Visteon,3.7,498,30,50,,"Work Life Balance, Promotions / Appraisal, Company Culture",Average
Sintex Industries,4.1,498,4,19,"Job Security, Work Life Balance, Skill Development / Learning",,High
Suraksha Diagnostic,3.9,498,6,39,Skill Development / Learning,,Average
Syrma Technology,4.1,498,3,20,"Skill Development / Learning, Job Security, Company Culture",,High
PPG Asian Paints,4.1,498,1,33,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,High
Shriram Housing Finance,3.9,497,9,37,Company Culture,,Average
Mitsubishi Electric,4.3,497,5,24,"Company Culture, Work Life Balance, Job Security",,High
Netmeds.com,3.6,497,1,39,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
IIFL Home Finance,3.9,497,6,23,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,Average
JM Financial,3.8,496,11,40,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
United Spirits,4.0,496,--,12,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Average
3M,4.3,496,63,27,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,High
Amway India Enterprises,4.1,496,--,15,"Company Culture, Skill Development / Learning, Salary & Benefits",,High
ASG Eye Hospital,3.6,496,78,42,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Praj Industries,4.1,495,12,35,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
Turtlemint,3.6,495,2,38,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Entrata,4.4,495,10,32,"Company Culture, Work Life Balance, Work Satisfaction",,High
Surya Roshni,4.1,495,--,14,"Job Security, Work Life Balance, Company Culture",,High
Gartner,4.2,494,56,73,"Work Life Balance, Job Security, Company Culture",,High
Kissht Finance,3.9,494,2,26,"Salary & Benefits, Work Satisfaction, Skill Development / Learning",,Average
Country Holidays Inn & Suites,4.4,493,--,109,"Work Life Balance, Company Culture, Skill Development / Learning",,High
CARE,4.4,493,1,39,"Company Culture, Skill Development / Learning, Work Satisfaction",,High
Orient Technologies,3.7,492,14,24,,"Promotions / Appraisal, Salary & Benefits",Average
Saudi Aramco,4.6,492,--,52,"Company Culture, Work Life Balance, Salary & Benefits",,High
Hilton,4.3,492,115,15,"Skill Development / Learning, Job Security, Company Culture",,High
Dhanuka Agritech,3.8,491,--,38,Skill Development / Learning,Promotions / Appraisal,Average
RenewBuy,3.5,491,11,37,,"Promotions / Appraisal, Job Security, Company Culture",Average
Vaaman Engineers,3.9,491,4,50,,Promotions / Appraisal,Average
Boeing,3.9,491,8,78,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Average
LG Soft India,3.3,490,3,81,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Samunnati Financial Intermediation and Services,4.4,490,--,15,"Work Life Balance, Company Culture, Work Satisfaction",,High
OMICS International,2.5,489,--,22,,"Salary & Benefits, Promotions / Appraisal, Job Security",Below Average
Triveni Engineering & Industries,4.1,489,--,31,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
Nomura Holdings,3.9,489,165,63,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,Average
Lohia Group,3.7,488,2,41,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Medcode,4.6,488,6,4,"Skill Development / Learning, Company Culture, Job Security",,High
Quikr,3.8,488,14,31,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Jubilant Generics,4.0,488,--,16,"Salary & Benefits, Work Life Balance",,Average
Okaya Power,3.7,487,2,30,,Promotions / Appraisal,Average
Rane NSK Steering Systems,4.2,487,--,27,"Skill Development / Learning, Company Culture, Work Satisfaction",,High
Moglix,3.5,487,13,49,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Advantmed,3.7,486,12,45,,"Promotions / Appraisal, Salary & Benefits",Average
Courtyard by Marriott,4.2,486,--,16,"Job Security, Company Culture, Skill Development / Learning",,High
Emami Agrotech,3.8,486,1,32,,Promotions / Appraisal,Average
ThoughtWorks,3.9,485,--,131,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
TCI Express,3.9,485,--,34,"Job Security, Skill Development / Learning",,Average
Future Lifestyle Fashion,4.2,484,--,8,"Skill Development / Learning, Work Life Balance, Company Culture",,High
TVS Electronics,3.8,484,41,22,,"Promotions / Appraisal, Salary & Benefits",Average
Signutra (Health & Nutrition Division of Win - Medicare Pvt Ltd),4.6,483,--,13,"Company Culture, Skill Development / Learning, Work Satisfaction",,High
General Motors,4.3,483,11,31,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Gandhi Automations,4.1,483,5,31,"Salary & Benefits, Job Security, Skill Development / Learning",,High
DealShare,3.4,483,1,36,,"Job Security, Promotions / Appraisal, Company Culture",Average
BSH Home Appliances Group,4.1,483,12,23,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
DBG Technology,4.0,483,5,58,"Job Security, Salary & Benefits",,Average
Asb International,4.0,483,--,23,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
Centaur Pharmaceuticals,3.6,482,1,23,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Optimum Infosystem,3.4,482,36,51,,"Job Security, Promotions / Appraisal, Skill Development / Learning",Average
Quality Austria Central Asia,3.5,481,3,19,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",Average
Ongc Petro Additions,4.1,481,--,32,"Job Security, Work Life Balance, Work Satisfaction",,High
Unimoni,3.9,481,--,14,Work Life Balance,Promotions / Appraisal,Average
Livpure,4.0,480,--,28,"Company Culture, Work Life Balance, Skill Development / Learning",,Average
Keventer,3.8,479,1,20,Work Life Balance,Promotions / Appraisal,Average
Genesys International Corporation,3.7,479,5,20,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Infor Global Solution,4.1,479,80,62,"Job Security, Work Life Balance, Company Culture",,High
Dodla Dairy,4.3,479,13,30,"Job Security, Company Culture, Work Life Balance",,High
Amber Enterprises India,3.9,479,18,36,Skill Development / Learning,Promotions / Appraisal,Average
Suma Soft,3.8,479,1,39,,"Promotions / Appraisal, Salary & Benefits",Average
Ge India Industrial,4.3,478,--,15,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Nephroplus,4.1,478,2,26,"Skill Development / Learning, Work Life Balance, Company Culture",,High
Renovision Automation Services,3.5,478,3,16,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Delta Electronics,3.9,478,13,51,"Job Security, Work Life Balance",Promotions / Appraisal,Average
Trimax IT Infrastructure Services,3.3,477,--,13,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
Rane Engine Valve Limited,4.0,477,--,22,"Skill Development / Learning, Job Security",Promotions / Appraisal,Average
Akal Information Systems,3.9,477,13,22,"Work Life Balance, Work Satisfaction, Company Culture",,Average
Data Entry,4.1,477,1,91,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",,High
Wakefit,4.0,477,12,42,"Skill Development / Learning, Salary & Benefits",,Average
Yokogawa,3.6,476,27,33,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Renault,4.3,476,--,25,"Work Life Balance, Company Culture, Skill Development / Learning",,High
Nucleus Software Exports,3.5,476,3,33,Job Security,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",Average
Pennar Industries,3.6,476,11,29,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Vizag Steel,4.1,475,--,25,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,High
Geojit Financial Services,3.8,475,5,32,,"Promotions / Appraisal, Salary & Benefits",Average
Škoda Auto Volkswagen,4.2,475,7,21,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,High
Tata Power Solar,4.1,474,--,55,"Job Security, Skill Development / Learning, Company Culture",,High
Agrostar,3.9,474,10,54,"Company Culture, Skill Development / Learning",Job Security,Average
Hetero Healthcare,3.6,474,1,27,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Average
Blue Yonder,4.1,474,114,48,"Job Security, Work Life Balance, Company Culture",,High
Avalon Technologies,3.7,474,18,25,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Central Reserve Police Force,4.7,474,--,6,"Job Security, Salary & Benefits, Company Culture",,High
Portea Medical,4.4,473,1,26,"Work Life Balance, Skill Development / Learning, Company Culture",,High
Creative Synergies Group,4.4,473,5,17,"Salary & Benefits, Company Culture, Work Life Balance",,High
HBL Power Systems,4.0,473,8,31,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Average
Prama Hikvision India,3.7,473,11,37,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Metriqe Solutions,4.2,473,3,20,"Skill Development / Learning, Job Security, Company Culture",,High
Jyothy Laboratories,4.2,473,40,20,"Job Security, Salary & Benefits, Company Culture",,High
Practo,3.2,473,8,72,,"Promotions / Appraisal, Job Security, Work Satisfaction",Average
Razorpay,3.6,473,128,137,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Indorama,4.0,472,--,23,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Vakrangee,3.7,472,--,7,,"Promotions / Appraisal, Salary & Benefits, Job Security",Average
SoftAge Information Technology,3.2,472,5,9,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
PTC,4.2,471,24,60,"Work Life Balance, Company Culture, Job Security",,High
Khazana Jewellery,4.0,471,14,51,"Skill Development / Learning, Company Culture",,Average
Toothsi,2.8,471,14,60,,"Promotions / Appraisal, Job Security, Work Satisfaction",Below Average
Centum Learning,3.8,471,9,26,,"Promotions / Appraisal, Job Security",Average
Army Public School,4.2,471,--,42,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",High
Army Public School,4.2,471,--,42,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",High
Maxgen Technologies,4.6,470,--,11,"Skill Development / Learning, Work Life Balance, Company Culture",,High
Medley Pharmaceuticals,4.0,470,5,33,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
PCBL Limited,3.9,470,--,55,Salary & Benefits,,Average
BEML,4.1,470,--,21,"Job Security, Work Life Balance",Promotions / Appraisal,High
Ramboll,4.2,470,111,34,"Work Life Balance, Company Culture, Job Security",,High
Shriram Automall,3.8,469,--,20,,,Average
Dr. Batras' Positive Health Clinic,3.8,469,10,15,,"Promotions / Appraisal, Job Security",Average
House Of Anita Dongre,4.1,469,2,15,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,High
VRL Logistics,3.9,469,1,17,,Promotions / Appraisal,Average
Karvy Data Management Services,3.8,468,--,14,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Pyramid IT Consulting,3.0,468,6,24,,"Promotions / Appraisal, Job Security, Work Satisfaction",Below Average
Corteva Agriscience,4.3,468,--,27,"Company Culture, Work Life Balance, Job Security",,High
Google Operations Center,3.7,468,--,74,,"Promotions / Appraisal, Work Satisfaction",Average
Talentpro,4.1,468,48,24,"Work Life Balance, Company Culture",Promotions / Appraisal,High
My Home Industries,4.2,468,--,33,"Job Security, Work Life Balance, Work Satisfaction",,High
OutworX,4.0,467,4,22,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,Average
Welspun Corp,4.1,467,--,25,"Skill Development / Learning, Company Culture, Work Life Balance",,High
Vestige,4.4,466,--,32,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Airports Authority of India,4.3,466,--,45,"Work Life Balance, Company Culture, Work Satisfaction",,High
Varun Motors,3.9,465,1,12,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Kellogg,4.3,465,--,22,"Job Security, Company Culture, Skill Development / Learning",,High
Me n Moms,4.3,465,6,35,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,High
Waaree Energies,3.9,465,11,52,Salary & Benefits,,Average
