company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Tata AIG,4.1,2.4k,138,143,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
UPL,4.2,2.4k,42,162,"Job Security, Skill Development / Learning, Work Life Balance",,High
PepsiCo,4.1,2.4k,297,182,"Company Culture, Work Life Balance, Salary & Benefits",,High
IDFC FIRST Bharat,4.5,2.4k,--,103,"Salary & Benefits, Job Security, Company Culture",,High
Titan Company,4.4,2.4k,47,136,"Company Culture, Job Security, Skill Development / Learning",,High
S&P Global,4.2,2.4k,11,252,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
Shoppers Stop,4.1,2.4k,5,101,"Job Security, Company Culture, Skill Development / Learning",,High
Torrent Pharmaceuticals,3.9,2.3k,29,117,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Kyndryl,4.0,2.3k,24,140,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Tata Technologies,3.7,2.3k,86,239,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Grasim Industries,4.1,2.3k,4,184,"Job Security, Skill Development / Learning, Work Life Balance",,High
Zensar Technologies,3.7,2.3k,358,240,Work Life Balance,Promotions / Appraisal,Average
Tata Capital,4.1,2.3k,781,124,"Job Security, Company Culture, Skill Development / Learning",,High
Mankind Pharma,4.0,2.3k,25,181,Salary & Benefits,,Average
Afcons Infrastructure,4.3,2.3k,7,192,"Job Security, Skill Development / Learning, Company Culture",,High
Motilal Oswal Financial Services,3.8,2.3k,56,194,Skill Development / Learning,,Average
